nID,name,color
1,Hydrocarbons,darkgray
2,Allenes,gray
3,Acetylides,lightgray
4,Benzenoids,magenta4
5,"Lignans, neolignans and related compounds",burlywood3
6,Phenylpropanoids and polyketides,gold
7,Lipids and lipid-like molecules,yellow
8,Organic oxygen compounds,red
9,Organic acids and derivatives,darkred
10,Organic nitrogen compounds,cyan
11,Alkaloids and derivatives,blue
12,"Nucleosides, nucleotides, and analogues",blue4
13,Hydrocarbon derivatives,seagreen4
14,Organoheterocyclic compounds,darkolivegreen4
15,Organophosphorus compounds,hotpink3
16,Organosulfur compounds,cornflowerblue
17,Organohalogen compounds,green
18,Organometallic compounds,thistle2
19,"Organic 1,3-dipolar compounds",grey25
20,Mixed metal/non-metal compounds,grey20
21,Miscellaneous inorganic compounds,grey15
22,Organic salts,grey10
23,Homogeneous non-metal compounds,grey5
24,Carbides,black
